name,bin_type_code,material,weight,rinse,special_instructions
bottle,R,plastic,0.02,f,please empty the bottle. Leave cap on.
plastic bottle,R,plastic,0.02,f,please empty the bottle. Leave cap on.
coffee cup,R,plastic,0.02,f,please clean and empty the cup.
aluminum can,R,aluminum,0.03,t,no liquids or food.
aluminum foil,R,aluminum,,f,no liquids or food.
bottle cap,R,plastic,0.004,f,
jar lid,R,plastic,0.02,f,
steel lid (from a can),R,tin,0.02,f,
paint can,R,tin,,f,must be empty or dry.
spray can,R,aluminum,,f,must be empty.
steel can,R,steel/tin,,f,no liquids or food.
plastic bag,R,plastic,0.01,f,"place clean, dry, empty plastic bags inside a clear plastic bag (roughly the size of a basketball)."
bucket ,R,plastic,,f,buckets with metal handles are ok. 
CD case,R,plastic,0.1,f,remove paper insert.
DVD case,R,plastic,0.16,f,remove paper insert.
CDROM case,R,plastic,0.1,f,remove paper insert.
coffee cup lid,R,plastic,0.01,f,
container,R,plastic,,f,
clamshell,R,plastic,,f,
plastic cork,R,plastic,,f,
plastic cup,R,plastic,,f,
plastic plate,R,plastic,,f,
plastic flower pot,R,plastic,,f,
laundry detergent bottle,R,plastic,,f,
molded plastic packaging,R,plastic,,f,
toys,R,plastic,,f,"no electronics, metal, or batteries."
yogurt container,R,plastic,,t,"no liquids or food, please."
tupperware,R,plastic,,f,"no liquids or food, please."
plastic utensil,R,plastic,,f,
glass,R,glass,,f,"no liquids or food, please. "
glass bottle,R,glass,,t,metal caps and lids ok. 
glass jar,R,glass,,t,lids ok. 
metal cap,R,metal,,f,"no liquids or food, please."
metal lid,R,metal,,f,
wrapping paper,R,paper,,f,non-metallic. 
shredded paper,R,paper,,f,"place in sealed paper bag and label ""shredded paper""."
sticky note,R,paper,,f,
phonebook,R,paper,,f,
kraft paper,R,paper,,f,
newspaper,R,paper,,f,"clean, dry and unsoiled."
junk mail,R,paper,,f,
magazine,R,paper,,f,
envelopes,R,paper,,f,envelopes with windows are okay. 
egg cartons,R,paper,,f,
computer paper,R,paper,,f,
office paper,R,paper,,f,
cereal box,R,paper,,f,remove plastic liner. 
paperboard,R,paper,,f,remove plastic liner. 
cardboard,R,cardboard,,f,non-waxed.
paper bag,R,paper,,f,"clean, dry and unsoiled."
milk carton,R,paper,,t,empty and clean.
juice carton,R,paper,,t,empty and clean.
paper carton,R,paper,,t,empty and clean.
soup carton,R,paper,,t,empty and clean.
juice box,R,paper,,t,empty and clean.
ice cream container,R,paper/plastic,,t,empty and clean.
coffee grounds,C,organic,0.178,f,none
soiled napkin,C,paper,0.01,f,none
greasy pizza box,C,paper,0.3,f,none
greasy paper bag,C,paper,,f,
coffee filter,C,paper,,f,
paper plate,C,paper,,f,
tissue,C,paper,,f,
paper towel,C,paper,,f,
take-out box,C,paper,,f,
tea bag,C,paper,0.003,f,none
waxed cardboard,C,paper,,f,none
fruit,C,organic,,f,
vegetables,C,organic,,f,
apple,C,organic,,f,
banana peel,C,organic,,f,
banana,C,organic,,f,
plant debris,C,organic,,f,
tree trimmings,C,organic,,f,
eggshells,C,organic,,f,
eggs,C,organic,,f,
leftovers,C,organic,,f,
spoiled food,C,organic,,f,
cooked meat (including bones),C,organic,,f,
seafood (including shellfish),C,organic,,f,
